DIRECCION,DISTRITO,PROVINCIA,DEPARTAMENTO,colaboradores,lat,lon
AV. MARISCAL AGUSTIN GAMARRA N° 420,SAN LUIS,LIMA,LIMA,1,-12.0736464,-76.9941006
CALLE MIGUEL GRAU 221-231,TONGOD,SAN MIGUEL,CAJAMARCA,1,-11.8332712,-77.1094315
CALLE MIGUEL DASSO 185,SAN ISIDRO,LIMA,LIMA,1,-12.0989209,-77.0346439
CALLE MARISCAL URETA N° 1412,JAEN,JAEN,CAJAMARCA,1,-12.1084849,-76.8291233
"CALLE MANUEL ARTEAGA N°540 - URB. LOS PARQUES, CHICLAYO.",CHICLAYO,CHICLAYO,LAMBAYEQUE,1,-6.7716146,-79.8387175
"CALLE LOS CINES 295 , SAN ISIDRO",SAN ISIDRO,LIMA,LIMA,1,-12.0989209,-77.0346439
CALLE LORA Y CORDERO N° 745,CHICLAYO,CHICLAYO,LAMBAYEQUE,1,-6.7700751,-79.8351523
AV. MARGINAL N° 101,JAZAN,BONGARA,AMAZONAS,1,-12.0825452,-76.9848823
AV. MARCHAND N°212,MALA,CANETE,LIMA PROVINCIAS,1,-12.6659771,-76.6412167
AV. MANUEL DE LA TORRE 150. SANTA ANITA,SANTA ANITA,LIMA,LIMA,1,-12.0514134,-76.9703992
AV. MANUEL CALLO CEVALLOS N° 256 - 258,SICUANI,CANCHIS,CUSCO,1,-14.2729288,-71.2265322
AV. MANCO CAPAC Nº 201 Y JR. RAYMONDI,LA VICTORIA,LIMA,LIMA,1,-12.0641355,-77.0295563
"AV. LURIGANCHO 997, SAN JUAN DE LURIGANCHO",SAN JUAN DE LURIGANCHO,LIMA,LIMA,1,-12.0162569,-76.9992319
AV. LOS PROCERES 1030 - CENTRO COMERCIAL PENTA MALL SANTIAGO DE SURCO.,SANTIAGO DE SURCO,LIMA,LIMA,1,-12.1251049,-76.9821605
AV. LOS MAESTROS ( EX. PAN.SUR) ENTRE AYABACA Y CUTERVO,ICA,ICA,ICA,1,-14.0640967,-75.7290915
AV. LOS INCAS N°192,MARCONA,NAZCA,ICA,1,-16.4212433,-71.5409025
CALLE LIMA N° 449,PIMENTEL,CHICLAYO,LAMBAYEQUE,1,-12.0417527,-77.1049333
CALLE SAN CAMILO 221,AREQUIPA,AREQUIPA,AREQUIPA,1,-16.4024537,-71.5348136
CALLE SABANDIA MZ-F LOTE 17,AREQUIPA,CAYLLOMA,MAJES,1,-16.3541089,-72.1866287
CALLE PUERTO RICO 197 - TRUJILLO,TRUJILLO,TRUJILLO,LA LIBERTAD,1,-8.1187981,-79.030738
"CALLE PROGRESO MZ 27 A, LT 13, SECTOR 1, POSESION INFORMAL, CERCADO DE CAYALTI",CAYALTI,CHICLAYO,LAMBAYEQUE,1,-6.8922228,-79.5620121
CALLE PROGRESO 237,PISCO,PISCO,ICA,1,-12.1905897,-76.9899229
AV. LOS INCAS N° 905,LA VICTORIA,CHICLAYO,LAMBAYEQUE,1,-16.4212433,-71.5409025
AV. LOS HEROES 386,CAJAMARCA,CAJAMARCA,CAJAMARCA,1,-12.0166852,-77.0623103
"AV. LOS CHANCAS 286-288, (LOTE 21 DE LA MZ J-B ) COOPERATIVA DE VIVIENDA SANTA ANITA",SANTA ANITA,LIMA,LIMA,1,-12.0494148,-76.9645757
